Attendance_ID,Staff_ID,Attendance_Date,Status,Shift,Location_ID
AT00001,S0054,2025-01-10,Present,Afternoon,L002
AT00002,S0229,2025-01-24,Present,Night,L004
AT00003,S0390,2024-10-27,Sick,Morning,L002
AT00004,S0364,2024-09-13,Present,Morning,L003
AT00005,S0283,2024-10-04,Present,Morning,L002
AT00006,S0030,2024-10-11,Leave,Night,L005
AT00007,S0366,2024-08-14,Leave,Morning,L005
AT00008,S0215,2025-02-17,Present,Morning,L003
AT00009,S0220,2024-06-30,Leave,Morning,L005
AT00010,S0430,2025-04-14,Sick,Afternoon,L002
AT00011,S0070,2024-12-17,Present,Morning,L005
AT00012,S0487,2024-07-09,Absent,Afternoon,L002
AT00013,S0500,2025-05-11,Absent,Morning,L005
AT00014,S0100,2024-07-24,Absent,Night,L004
AT00015,S0393,2024-10-11,Leave,Morning,L004
AT00016,S0201,2024-10-12,Leave,Night,L003
AT00017,S0371,2025-01-08,Present,Night,L003
AT00018,S0222,2024-06-14,Absent,Morning,L002
AT00019,S0143,2025-04-21,Sick,Afternoon,L004
AT00020,S0201,2024-12-29,Sick,Night,L001
AT00021,S0207,2025-02-21,Present,Night,L003
AT00022,S0377,2024-06-25,Present,Night,L005
AT00023,S0116,2025-05-03,Sick,Night,L005
AT00024,S0320,2024-07-13,Absent,Night,L005
AT00025,S0427,2024-09-11,Leave,Morning,L001
AT00026,S0346,2024-10-22,Sick,Night,L005
AT00027,S0317,2025-02-19,Sick,Morning,L004
AT00028,S0145,2024-06-29,Sick,Night,L004
AT00029,S0120,2024-12-20,Leave,Morning,L004
AT00030,S0066,2024-10-07,Absent,Night,L003
AT00031,S0171,2025-04-07,Leave,Afternoon,L003
AT00032,S0284,2024-06-28,Present,Night,L001
AT00033,S0239,2024-08-18,Leave,Night,L005
AT00034,S0391,2025-02-23,Absent,Afternoon,L004
AT00035,S0186,2024-11-16,Absent,Afternoon,L001
AT00036,S0404,2025-01-05,Leave,Morning,L005
AT00037,S0044,2024-12-21,Absent,Night,L002
AT00038,S0240,2024-10-12,Present,Night,L004
AT00039,S0353,2025-01-31,Sick,Afternoon,L005
AT00040,S0055,2025-05-22,Absent,Afternoon,L005
AT00041,S0370,2025-03-30,Absent,Morning,L004
AT00042,S0331,2024-10-22,Sick,Afternoon,L005
AT00043,S0422,2024-08-18,Leave,Afternoon,L001
AT00044,S0166,2024-09-22,Leave,Morning,L002
AT00045,S0436,2024-11-02,Absent,Night,L002
AT00046,S0482,2024-08-05,Leave,Night,L001
AT00047,S0092,2024-08-18,Absent,Afternoon,L004
AT00048,S0194,2025-05-23,Sick,Morning,L002
AT00049,S0463,2024-10-07,Leave,Afternoon,L001
AT00050,S0486,2024-08-23,Absent,Morning,L005
AT00051,S0344,2024-11-29,Leave,Afternoon,L002
